,Time,Intensity,Time.1,Intensity.1,Time.2,Intensity.2
0,0.0,4042,0.000203,1793.0,0.000207,9009.0
1,0.000162,3987,0.003712,1860.0,0.004882,9032.0
2,0.0021,3378,0.007228,1611.0,0.009637,8626.0
3,0.004023,4514,0.010792,1835.0,0.014332,8336.0
4,0.005955,3766,0.014305,1827.0,0.01902,8148.0
5,0.007883,3411,0.017805,1789.0,0.02372,8089.0
6,0.009808,3963,0.02144,1666.0,0.028403,7120.0
7,0.011828,4368,0.024975,1644.0,0.033187,7625.0
8,0.013748,4072,0.028482,1656.0,0.037865,6965.0
9,0.015672,3737,0.031998,1294.0,0.042567,7194.0
10,0.01761,3361,0.035615,1329.0,0.04725,7954.0
11,0.019547,3815,0.039155,1697.0,0.052013,5905.0
12,0.021482,3220,0.042677,1632.0,0.0568,7440.0
13,0.023413,3811,0.04622,1591.0,0.061473,6264.0
14,0.025362,4090,0.049823,1347.0,0.066227,7663.0
15,0.027302,3687,0.053357,1696.0,0.070928,7161.0
16,0.029242,3456,0.056885,1770.0,0.075578,6622.0
17,0.03125,3478,0.060395,1573.0,0.080233,6637.0
18,0.033172,3251,0.06391,1381.0,0.08491,5639.0
19,0.035148,3267,0.067407,1612.0,0.08966,6518.0
20,0.03708,3490,0.070962,1380.0,0.09432,5580.0
21,0.039013,3571,0.07452,1311.0,0.099142,6190.0
22,0.040965,2963,0.078023,1480.0,0.103825,5515.0
23,0.042888,3737,0.081602,1362.0,0.10856,5685.0
24,0.044813,3580,0.085092,1495.0,0.113203,5980.0
25,0.046733,3862,0.088618,1399.0,0.117865,5455.0
26,0.048742,3317,0.092183,1380.0,0.122535,4967.0
27,0.050682,3530,0.09569,1378.0,0.12724,192510.0
28,0.052603,3042,0.099212,1255.0,0.131888,4.0
29,0.05454,2934,0.102763,1303.0,0.13786,599.0
30,0.056463,3503,0.106332,1510.0,0.143923,64712.0
31,0.058387,3472,0.109955,1388.0,0.14935,0.0
32,0.060317,3326,0.113483,1194.0,0.153928,0.0
33,0.062378,3481,0.116992,1210.0,0.159887,5693.0
