,Time,Intensity,Time.1,Intensity.1,Time.2,Intensity.2
0,0.000177,9505,0.000203,2266.0,0.000198,3379.0
1,0.002173,9258,0.003788,2168.0,0.004855,3201.0
2,0.004145,9663,0.00734,1889.0,0.009532,2778.0
3,0.00618,9388,0.010835,1916.0,0.014282,2866.0
4,0.008127,8623,0.014345,1787.0,0.019145,3023.0
5,0.010092,8921,0.017892,1442.0,0.023815,3000.0
6,0.012037,9143,0.0214,1572.0,0.028517,2431.0
7,0.01399,8748,0.025015,1802.0,0.033208,2956.0
8,0.015953,8501,0.028535,1762.0,0.037878,2345.0
9,0.017907,9436,0.032022,1583.0,0.042577,2505.0
10,0.019867,9130,0.03552,1487.0,0.047258,2517.0
11,0.021847,8714,0.03901,1359.0,0.051965,2438.0
12,0.02381,8807,0.04261,1482.0,0.056818,2792.0
13,0.025873,8074,0.046107,1292.0,0.061463,2345.0
14,0.027843,7779,0.049635,1439.0,0.06622,2527.0
15,0.029825,8999,0.05315,1442.0,0.070928,2186.0
16,0.031778,7921,0.056667,1419.0,0.075678,2440.0
17,0.033725,7959,0.060215,1590.0,0.080397,149294.0
18,0.035682,8204,0.063728,1258.0,0.085103,6.0
19,0.037668,7866,0.06726,1243.0,0.091107,178.0
20,0.039652,7947,0.070868,927.0,0.097137,45283.0
21,0.0416,7661,0.074432,1241.0,0.102883,58876.0
22,0.043577,7670,0.077988,1332.0,0.107698,19872.0
23,0.045745,7905,0.081478,1297.0,0.112433,0.0
24,0.0477,7291,0.084997,1182.0,0.117237,0.0
25,0.049675,7725,0.088543,1510.0,0.123212,4433.0
26,0.05163,7846,0.092063,1299.0,0.129275,88131.0
27,0.053608,7224,0.095615,1102.0,0.134262,43511.0
28,0.055563,8196,0.099247,1144.0,0.139135,0.0
29,0.057525,7071,0.102707,888.0,0.145115,0.0
30,0.059487,7716,0.106243,1094.0,0.151142,19660.0
31,0.061445,7263,0.109793,153196.0,0.157167,108756.0
32,0.063437,7844,0.11335,0.0,0.161798,27776.0
33,0.065478,8048,0.11815,10.0,0.166567,0.0
34,0.06742,7090,0.123008,8011.0,0.171193,0.0
35,0.069392,7541,0.127868,55028.0,0.177165,4266.0
36,0.071353,6702,0.131728,28028.0,0.183198,82514.0
37,0.0733,7296,0.135457,11794.0,0.188197,44739.0
38,0.075275,6345,0.138985,149859.0,0.19302,0.0
39,0.077247,1613923,0.142577,0.0,0.198993,0.0
40,0.079188,2360879,0.147377,0.0,0.205072,16802.0
41,0.08113,2905411,0.152238,6643.0,0.211097,76723.0
42,0.083123,3389192,0.157105,51598.0,0.215967,28463.0
43,0.085028,3446768,0.161032,30443.0,0.220697,0.0
44,0.086935,2839877,0.164627,11616.0,0.22668,0.0
45,0.088837,2852532,0.168345,162768.0,0.232715,18374.0
46,0.090748,1275856,0.171867,0.0,0.238858,76504.0
47,0.09269,848915,0.176667,0.0,0.243733,28729.0
48,0.094642,480871,0.181527,8055.0,0.248442,0.0
49,0.096613,257441,0.186397,52354.0,0.254413,0.0
50,0.098615,150874,0.190277,28549.0,0.26044,16300.0
51,0.10058,84741,0.193877,13041.0,0.266467,78298.0
52,0.102633,1588939,0.197442,193306.0,0.27135,32460.0
53,0.104588,2486961,0.200963,0.0,0.27617,0.0
54,0.106525,3508105,0.2059,3.0,0.282143,14.0
55,0.108443,3199036,0.21076,7012.0,0.288172,17327.0
56,0.110342,3358353,0.215635,49539.0,0.294198,75534.0
57,0.112258,3299422,0.219518,57896.0,0.299068,29123.0
58,0.114158,2645437,0.222865,14454.0,0.303847,0.0
59,0.116083,1383214,0.226393,242180.0,0.309872,0.0
60,0.11801,850668,0.229945,0.0,0.3159,18051.0
61,0.119967,518438,0.234757,2.0,0.322005,81517.0
62,0.121995,279199,0.23975,7562.0,0.32687,30985.0
63,0.123953,169067,0.24461,54157.0,0.331588,0.0
64,0.125935,94097,0.248513,33303.0,0.337588,0.0
65,0.12792,1520600,0.252108,13179.0,0.343652,20023.0
66,0.12988,2276850,0.255655,174236.0,0.349678,115438.0
67,0.131807,3373130,0.259162,0.0,0.354295,33868.0
68,0.133765,3166367,0.263958,2.0,0.358982,0.0
69,0.135677,3460919,0.268828,6948.0,0.363767,2.0
70,0.137588,3697382,0.273812,58115.0,0.369755,5001.0
71,0.139613,2335639,0.277618,30551.0,0.37579,85229.0
72,0.141548,1368427,0.281213,13984.0,0.380812,46419.0
73,0.14347,878186,0.284777,173732.0,0.3855,0.0
74,0.145403,503181,0.28831,0.0,0.391472,0.0
75,0.14735,290581,0.29312,2.0,0.397498,19559.0
76,0.149302,165921,0.29798,7532.0,0.403523,132023.0
77,0.151258,90155,0.302838,53205.0,0.40808,32200.0
78,0.153228,1485525,0.306695,33254.0,0.41289,0.0
79,0.155163,2503108,0.31041,12794.0,0.417582,0.0
80,0.15718,2586929,0.313945,173469.0,0.423577,4782.0
81,0.1591,3390347,0.3175,0.0,0.429603,85628.0
82,0.16101,3285615,0.322305,3.0,0.434613,42342.0
83,0.162912,3956261,0.327165,8268.0,0.43937,0.0
84,0.164822,2860680,0.332023,54603.0,0.445352,14.0
85,0.166735,1308432,0.33591,34879.0,0.451508,24596.0
86,0.168685,874218,0.339478,12997.0,0.457535,74874.0
87,0.170655,531389,0.343033,209565.0,0.462412,27754.0
88,0.172623,301594,0.346658,0.0,0.467123,0.0
89,0.174582,169202,0.351475,0.0,0.473097,4.0
90,0.176523,99114,0.356335,7699.0,0.479123,17356.0
91,0.178672,1604817,0.361193,47429.0,0.485185,79566.0
92,0.180605,2871907,0.365112,34981.0,0.490033,31110.0
93,0.182538,2649026,0.368693,14123.0,0.494855,0.0
94,0.184453,3679301,0.372233,179691.0,0.500818,0.0
95,0.186367,3351202,0.37577,5.0,0.506845,17204.0
96,0.18827,2776322,0.38063,0.0,0.512872,81572.0
97,0.190167,2408469,0.385577,7675.0,0.517675,32095.0
98,0.192077,2230664,0.390437,45255.0,0.522408,0.0
99,0.194015,882783,0.394425,31083.0,0.528258,0.0
100,0.196032,527502,0.398055,12061.0,0.534287,14368.0
101,0.198,276162,0.401598,161496.0,0.540312,140749.0
102,0.199965,158949,0.405127,0.0,0.544962,32892.0
103,0.201958,95942,0.409938,0.0,0.549693,0.0
104,0.203922,1552104,0.414925,8792.0,0.554353,0.0
105,0.20586,2566779,0.419783,52750.0,0.560367,4244.0
106,0.207778,2471856,0.42366,29199.0,0.566402,94134.0
107,0.209682,2913269,0.427272,12011.0,0.57142,49395.0
108,0.211588,3242208,0.430808,183479.0,0.57611,0.0
109,0.213508,3337235,0.434322,0.0,0.58216,0.0
110,0.215515,2421479,0.439128,2.0,0.588195,20478.0
111,0.217433,1357194,0.443988,7635.0,0.594262,120431.0
112,0.219348,877528,0.448885,47604.0,0.598842,33202.0
113,0.221282,538800,0.452898,30687.0,0.603555,0.0
114,0.223263,309227,0.456503,11846.0,0.608207,0.0
115,0.225225,178437,0.460032,169175.0,0.614175,3743.0
116,0.227177,101658,0.463545,0.0,0.620202,83230.0
117,0.229118,1495409,0.468348,0.0,0.625282,41593.0
118,0.231085,2718890,0.473208,7968.0,0.630093,0.0
119,0.233045,3073069,0.478068,50977.0,0.63608,4.0
120,0.235053,3088983,0.481967,29151.0,0.642107,19794.0
121,0.237003,3433131,0.485728,11376.0,0.648132,78666.0
122,0.238913,2186593,0.489353,144826.0,0.653035,35912.0
123,0.24082,2982584,0.492927,0.0,0.657683,0.0
124,0.242738,1350581,0.497738,0.0,0.663682,0.0
125,0.24465,857556,0.502598,8202.0,0.669793,18058.0
126,0.246592,511285,0.507458,49421.0,0.67582,77391.0
127,0.248542,289944,0.511388,30189.0,0.680733,32339.0
128,0.250498,166558,0.514973,13318.0,0.685453,0.0
129,0.252525,96189,0.518605,170347.0,0.691428,3.0
130,0.254463,1593397,0.52218,0.0,0.697492,20148.0
131,0.2564,1836280,0.526985,0.0,0.703522,74472.0
132,0.258347,3559495,0.531845,7013.0,0.708413,30640.0
133,0.260263,3199504,0.536703,51592.0,0.713143,0.0
