,0
0,1.9790064946718893
1,1.9527189407311287
2,1.9549100483883834
3,1.94215592429425
4,1.9321876474033526
5,1.9307546947961836
6,1.933886541315864
7,1.9504831940172562
8,1.9472946028392024
9,1.9433730431069016
10,1.9518703666280162
11,1.9512386561575983
12,1.9566700326207924
13,1.967059390493282
14,1.9518677057100136
15,1.9349489066925734
16,1.94191174563546
17,1.9479874229343253
18,1.9385448808043282
19,1.9287248206927357
20,1.9324832980452127
21,1.9289160816717825
22,1.9278325671296352
23,1.9460811961347173
24,1.9542071485884853
25,1.9425711847344846
26,1.9396727226501653
27,1.9374688131112519
28,1.9442390436244266
29,1.9543721433005916
30,1.9311779077975086
31,1.9224620001211352
